L_CPI,1 year2014,2 year2015,3 year2016,4 year2017,5 year2018,6 year2019,7 year2020,8 year2021,9 year2022,10 year2023,11 year2024,12 year2025,13 year2026,14 year2027,15 year2028,16 year2029,17 year2030,18 year2031,19 year2032,20 year2033,21 year2034,22 year2035,23 year2036,24 year2037,25 year2038,26 year2039,27 year2040,28 year2041,29 year2042,30 year2043,31 year2044,32 year2045,33 year2046,34 year2047,35 year2048,36 year2049,37 year2050,38 year2051,39 year2052,40 year2053,41 year2054,42 year2055,43 year2056,44 year2057,45 year2058,46 year2059,47 year2060,Total
22 Middle_East,1,1.0165,1.0302,1.0418,1.0519,1.0609,1.069,1.0879,1.1025,1.1143,1.1241,1.1326,1.1401,1.1469,1.1532,1.1592,1.165,1.1782,1.1872,1.1927,1.195,1.1935,1.1872,1.1755,1.1588,1.138,1.1138,1.0985,1.081,1.0624,1.0436,1.025,1.007,0.9899,0.9737,0.9587,0.9449,0.9449,0.9416,0.9369,0.9316,0.9264,0.9217,0.9177,0.9145,0.9122,0.9108,49.7591
23 Cen_Amer_Ca,1,0.9941,0.9881,0.9824,0.977,0.9719,0.9671,0.9664,0.9655,0.9644,0.9632,0.962,0.961,0.9601,0.9595,0.9592,0.9593,0.963,0.966,0.9685,0.9706,0.9722,0.9727,0.9716,0.969,0.9643,0.9573,0.955,0.9519,0.9482,0.9442,0.94,0.9358,0.9316,0.9275,0.9237,0.9202,0.922,0.9228,0.923,0.923,0.923,0.923,0.9231,0.9233,0.9236,0.9241,44.7856
24 Tropica_Amer,1,1.0027,1.0055,1.0084,1.0114,1.0146,1.0178,1.0301,1.0411,1.0513,1.0609,1.0702,1.0795,1.0888,1.0984,1.1086,1.1196,1.1467,1.1698,1.1907,1.211,1.2314,1.2518,1.271,1.2872,1.2983,1.3027,1.3193,1.3257,1.3247,1.3184,1.3082,1.2953,1.2805,1.2646,1.248,1.231,1.232,1.2296,1.2245,1.217,1.2076,1.197,1.1858,1.1743,1.1629,1.1517,55.0676
25 S_Amer_South,1,1.0083,1.0148,1.0198,1.0234,1.026,1.0275,1.0331,1.0376,1.0411,1.0438,1.046,1.048,1.0498,1.0515,1.0533,1.0556,1.0632,1.0709,1.0809,1.0966,1.1238,1.1715,1.2539,1.395,1.6619,2.0978,2.2499,2.4112,2.5659,2.7128,2.8516,2.9815,3.1016,3.211,3.3094,3.3963,3.3902,3.4282,3.4792,3.5291,3.5719,3.6058,3.6322,3.6524,3.6676,3.6785,95.0214
26 EU_Atlantic,1,1.0129,1.0248,1.0357,1.0458,1.055,1.0633,1.0741,1.084,1.0933,1.1017,1.1094,1.1163,1.1226,1.1283,1.1334,1.1381,1.1455,1.1513,1.1558,1.1588,1.1599,1.1581,1.1531,1.1446,1.1328,1.1176,1.1069,1.0952,1.0831,1.0706,1.058,1.0455,1.033,1.0208,1.0088,0.9972,0.9916,0.9852,0.9784,0.9715,0.9647,0.9581,0.9517,0.9455,0.9396,0.9339,49.9556
27 EU_Continent,1,1.0045,1.009,1.0136,1.0181,1.0225,1.0267,1.0331,1.0396,1.0459,1.0519,1.0575,1.0628,1.0676,1.0721,1.0763,1.0804,1.0862,1.0912,1.0954,1.0984,1.0997,1.0983,1.0937,1.0858,1.0746,1.0601,1.0484,1.0364,1.0245,1.0125,1.0006,0.9889,0.9773,0.966,0.9548,0.9439,0.9386,0.9324,0.9259,0.9193,0.9128,0.9064,0.9002,0.8943,0.8885,0.8831,47.6195
28 EU_Medi_clim,1,0.9936,0.9901,0.9887,0.9886,0.9895,0.9911,0.9969,1.0029,1.009,1.015,1.0208,1.0265,1.0319,1.0372,1.0424,1.0475,1.055,1.0613,1.0666,1.0706,1.0727,1.072,1.068,1.0606,1.0497,1.0354,1.0254,1.0147,1.0035,0.9922,0.9808,0.9695,0.9584,0.9476,0.9371,0.9271,0.924,0.9198,0.9152,0.9103,0.9055,0.9007,0.8961,0.8916,0.8873,0.8832,46.5734
29 European_FTA,1,1.0229,1.0433,1.0616,1.0779,1.0924,1.1053,1.1215,1.1364,1.15,1.1626,1.1743,1.1852,1.1956,1.2056,1.2154,1.2252,1.2392,1.2521,1.2642,1.2756,1.2863,1.2955,1.3021,1.3054,1.3045,1.2991,1.2966,1.2922,1.2863,1.2791,1.2708,1.2614,1.2511,1.2399,1.2279,1.2151,1.2073,1.1986,1.1892,1.1792,1.1687,1.1575,1.146,1.1343,1.1225,1.1108,56.2337
30 Euro_Non_EU,1,0.9947,0.9913,0.9892,0.988,0.9874,0.9872,0.9914,0.9955,0.9996,1.0038,1.008,1.0123,1.0166,1.0213,1.0263,1.0319,1.0407,1.0496,1.059,1.0691,1.0798,1.0905,1.101,1.1111,1.1205,1.1285,1.1369,1.1461,1.1557,1.1656,1.1756,1.1855,1.1953,1.2051,1.2148,1.2242,1.2335,1.2424,1.2508,1.2587,1.2662,1.2731,1.2795,1.2855,1.291,1.2961,52.3759
31 Africa_North,1,0.9582,0.9373,0.9252,0.9174,0.9122,0.9086,0.9177,0.9232,0.9261,0.9274,0.9278,0.9278,0.9277,0.9277,0.9281,0.9289,0.9369,0.9419,0.9449,0.946,0.9453,0.9423,0.9367,0.9287,0.9184,0.9061,0.9021,0.8962,0.8891,0.8815,0.8736,0.8658,0.8582,0.851,0.8441,0.8378,0.8412,0.842,0.8412,0.8394,0.8372,0.8347,0.8322,0.8297,0.8274,0.8252,42.2183
32 Africa_Centr,1,0.9898,0.987,0.9886,0.993,0.9994,1.0072,1.024,1.0402,1.056,1.0716,1.087,1.1024,1.1176,1.1326,1.1474,1.1619,1.1863,1.2046,1.2182,1.2276,1.2328,1.2333,1.228,1.2171,1.2013,1.1816,1.1839,1.1746,1.1592,1.1421,1.1258,1.1115,1.0999,1.0909,1.0846,1.0809,1.0907,1.0966,1.1003,1.1031,1.1054,1.1072,1.1085,1.1093,1.1093,1.1086,52.3288
33 Africa_West,1,1.0087,1.0159,1.0216,1.0264,1.0309,1.0354,1.0668,1.0889,1.1038,1.1146,1.1235,1.1325,1.1419,1.1523,1.1638,1.1765,1.2235,1.258,1.2829,1.3013,1.3151,1.3253,1.3317,1.3346,1.3343,1.3308,1.3788,1.4062,1.4189,1.4236,1.4249,1.4252,1.4257,1.4269,1.4288,1.4315,1.4881,1.5244,1.5464,1.5604,1.5706,1.5792,1.5875,1.596,1.6049,1.6144,61.3032
34 Africa_South,1,1.013,1.0238,1.0325,1.0393,1.0448,1.0494,1.0738,1.0886,1.0958,1.0988,1.1002,1.1018,1.1044,1.1083,1.1138,1.1208,1.1546,1.1756,1.1882,1.197,1.2048,1.213,1.222,1.2323,1.2431,1.2535,1.3044,1.3331,1.3464,1.3519,1.3541,1.3551,1.3559,1.357,1.3584,1.3603,1.3997,1.4179,1.4243,1.4256,1.4251,1.4245,1.4246,1.4258,1.428,1.4312,57.9964
35 Africa_East,1,0.9764,0.9593,0.9467,0.9371,0.9298,0.9241,0.9369,0.9439,0.9464,0.9464,0.9452,0.9439,0.9429,0.9425,0.9429,0.9442,0.9649,0.9784,0.9867,0.9916,0.9946,0.9966,0.9973,0.9967,0.9948,0.9913,1.0107,1.0228,1.0298,1.0341,1.0375,1.0408,1.0445,1.0487,1.0535,1.0588,1.0837,1.1016,1.1145,1.1243,1.1323,1.1394,1.1461,1.1526,1.1591,1.1656,47.7017
Total,35,35.0649,35.1793,35.3099,35.4439,35.5754,35.7019,36.0641,36.3629,36.6141,36.8333,37.0324,37.2235,37.4113,37.6035,37.8068,38.0273,38.478,38.869,39.2339,39.5985,39.9746,40.3636,40.7498,41.1268,41.534,41.9893,42.3445,42.6042,42.7849,42.9099,42.9949,43.0492,43.0781,43.0848,43.0714,43.0401,43.138,43.2143,43.263,43.286,43.2866,43.2687,43.2372,43.1962,43.1485,43.0968,1881.2696
